FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
RIM,Remote Interference Management,US English,en-US,en-US
RQA,Reflective QoS Attribute,US English,en-US,en-US
RQI,Reflective QoS Indication,US English,en-US,en-US
RSN,Redundancy Sequence Number,US English,en-US,en-US
S-NSSAI,Single Network Slice Selection Assistance Information,US English,en-US,en-US
SA NR,Standalone New Radio,US English,en-US,en-US
SBA,Service Based Architecture,US English,en-US,en-US
SBI,Service Based Interface,US English,en-US,en-US
SCP,Service Communication Proxy,US English,en-US,en-US
SD,Slice Differentiator,US English,en-US,en-US
SEAF,Security Anchor Functionality,US English,en-US,en-US
SEPP,Security Edge Protection Proxy,US English,en-US,en-US
SMF,Session Management Function,US English,en-US,en-US
SMSF,Short Message Service Function,US English,en-US,en-US
SN,Sequence Number,US English,en-US,en-US
SNPN,Stand-alone Non-Public Network,US English,en-US,en-US
SSC,Session and Service Continuity,US English,en-US,en-US
SSCMSP,Session and Service Continuity Mode Selection Policy,US English,en-US,en-US
SST,Slice/Service Type,US English,en-US,en-US
SUCI,Subscription Concealed Identifier,US English,en-US,en-US
SUPI,Subscription Permanent Identifier,US English,en-US,en-US
SV,Software Version,US English,en-US,en-US
TNAN,Trusted Non-3GPP Access Network,US English,en-US,en-US
TNAP,Trusted Non-3GPP Access Point,US English,en-US,en-US
TNGF,Trusted Non-3GPP Gateway Function,US English,en-US,en-US
TNL,Transport Network Layer,US English,en-US,en-US
TNLA,Transport Network Layer Association,US English,en-US,en-US
TSC,Time Sensitive Communication,US English,en-US,en-US
TSCAI,TSC Assistance Information,US English,en-US,en-US
TSN,Time Sensitive Networking,US English,en-US,en-US
TSN GM,TSN Grand Master,US English,en-US,en-US
TSP,Traffic Steering Policy,US English,en-US,en-US
TT,TSN Translator,US English,en-US,en-US
TWIF,Trusted WLAN Interworking Function,US English,en-US,en-US
UCMF,UE radio Capability Management Function,US English,en-US,en-US
UDM,Unified Data Management,US English,en-US,en-US
UDR,Unified Data Repository,US English,en-US,en-US
UDSF,Unstructured Data Storage Function,US English,en-US,en-US
UL,Uplink,US English,en-US,en-US
UL CL,Uplink Classifier,US English,en-US,en-US
UPF,User Plane Function,US English,en-US,en-US
URLLC,Ultra Reliable Low Latency Communication,US English,en-US,en-US
URRP-AMF,UE Reachability Request Parameter for AMF,US English,en-US,en-US
URSP,UE Route Selection Policy,US English,en-US,en-US
V-PCF,A PCF in the VPLMN,US English,en-US,en-US
V-UDR,A UDR in the VPLMN,US English,en-US,en-US
V2XP,V2X Policy,US English,en-US,en-US
VID,VLAN Identifier,US English,en-US,en-US
VLAN,Virtual Local Area Network,US English,en-US,en-US
vSRVCC,video Single Radio Voice Call Continuity,US English,en-US,en-US
W-5GAN,Wireline 5G Access Network,US English,en-US,en-US
W-5GBAN,Wireline BBF Access Network,US English,en-US,en-US
W-5GCAN,Wireline 5G Cable Access Network,US English,en-US,en-US
W-AGF,Wireline Access Gateway Function,US English,en-US,en-US
WLANSP,WLAN Selection Policy,US English,en-US,en-US
